City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (current 3 hours),Snow Inches (current 3 hours)
129,Batsfjord,NO,2020-01-17 00:42:43,70.63,29.72,12.47,96,87,2.84,light snow,0.0,0.13
130,Clyde River,CA,2020-01-17 00:42:44,70.47,-68.59,-11.2,83,90,12.75,overcast clouds,0.0,0.0
131,Mehamn,NO,2020-01-17 00:42:44,71.04,27.85,16.97,92,95,4.14,light snow,0.0,0.19
132,Longyearbyen,SJ,2020-01-17 00:42:45,78.22,15.64,-1.43,97,74,2.77,light snow,0.0,0.13
133,Faya,SA,2020-01-17 00:42:45,18.39,42.45,52.32,54,0,1.3,clear sky,0.0,0.0
134,Aklavik,CA,2020-01-17 00:42:45,68.22,-135.01,-14.8,75,75,3.36,mist,0.0,0.0
135,Ures,MX,2020-01-17 00:42:46,29.43,-110.4,64.99,67,100,1.01,overcast clouds,0.0,0.0
136,Kodiak,US,2020-01-17 00:42:47,57.79,-152.41,27.12,64,6,7.14,clear sky,0.0,0.0
137,Abengourou,CI,2020-01-17 00:42:47,6.73,-3.5,71.64,52,0,2.64,clear sky,0.0,0.0
138,Alofi,NU,2020-01-17 00:42:49,-19.06,-169.92,82.02,81,100,23.82,moderate rain,3.06,0.0
139,Banjar,ID,2020-01-17 00:42:49,-8.19,114.97,82.33,71,99,6.6,overcast clouds,0.0,0.0
140,Bluff,NZ,2020-01-17 00:42:49,-46.6,168.33,66.6,58,21,7.74,few clouds,0.0,0.0
141,Ko Samui,TH,2020-01-17 00:42:51,9.54,99.94,80.89,69,72,8.9,broken clouds,0.0,0.0
142,Bontang,ID,2020-01-17 00:42:52,0.13,117.5,80.02,79,35,2.82,scattered clouds,0.0,0.0
143,Nicoya,CR,2020-01-17 00:42:53,10.15,-85.45,72.0,20,22,3.15,few clouds,0.0,0.0
144,Saskylakh,RU,2020-01-17 00:42:54,71.92,114.08,-19.32,92,58,5.73,broken clouds,0.0,0.0
145,Tasiilaq,GL,2020-01-17 00:42:55,65.61,-37.64,19.4,44,0,12.75,clear sky,0.0,0.0
146,Pisco,PE,2020-01-17 00:42:55,-13.7,-76.22,71.01,92,78,15.01,broken clouds,0.0,0.0
147,Baruun-Urt,MN,2020-01-17 00:42:56,46.68,113.28,-3.89,86,0,9.1,clear sky,0.0,0.0
148,Kristiansund,NO,2020-01-17 00:42:57,63.11,7.73,36.59,67,83,6.53,broken clouds,0.0,0.0
149,Cabo San Lucas,MX,2020-01-17 00:42:38,22.89,-109.91,75.0,34,100,5.57,overcast clouds,0.0,0.0
150,Salalah,OM,2020-01-17 00:42:57,17.02,54.09,61.59,50,0,10.38,clear sky,0.0,0.0
151,Yambio,SS,2020-01-17 00:42:58,4.57,28.4,79.32,31,67,2.51,broken clouds,0.0,0.0
152,Barkhan,PK,2020-01-17 00:42:59,29.9,69.53,33.08,44,3,3.85,clear sky,0.0,0.0
153,Quatre Cocos,MU,2020-01-17 00:42:59,-20.21,57.76,79.0,88,75,9.17,broken clouds,0.0,0.0
154,Vardo,NO,2020-01-17 00:42:59,70.37,31.11,24.28,90,99,7.45,light snow,0.0,0.25
155,Erenhot,CN,2020-01-17 00:41:11,43.65,111.98,11.17,94,92,8.03,overcast clouds,0.0,0.0
156,Flinders,AU,2020-01-17 00:43:01,-34.58,150.86,66.99,21,100,5.01,light rain,0.44,0.0
157,Vila Velha,BR,2020-01-17 00:43:02,-20.33,-40.29,84.99,64,83,4.21,light rain,0.75,0.0
158,Faanui,PF,2020-01-17 00:43:02,-16.48,-151.75,81.99,79,20,18.39,light rain,0.94,0.0
159,Kruisfontein,ZA,2020-01-17 00:43:03,-34.0,24.73,73.44,85,87,14.07,overcast clouds,0.0,0.0
160,Beloha,MG,2020-01-17 00:43:04,-25.17,45.05,73.09,74,67,2.68,broken clouds,0.0,0.0
161,Challans,FR,2020-01-17 00:43:04,46.84,-1.87,52.0,97,100,7.0,moderate rain,5.44,0.0
