City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (current 3 hours),Snow Inches (current 3 hours)
154,Clyde River,CA,2020-01-13 03:50:27,70.47,-68.59,-18.4,75,1,18.34,clear sky,0.0,0.0
155,Dunedin,NZ,2020-01-13 03:50:28,-45.87,170.5,60.01,57,1,10.0,clear sky,0.0,0.0
156,Pisco,PE,2020-01-13 03:50:28,-13.7,-76.22,69.01,88,93,12.75,overcast clouds,0.0,0.0
157,Pacific Grove,US,2020-01-13 03:47:30,36.62,-121.92,52.0,81,90,5.82,overcast clouds,0.0,0.0
158,Malindi,KE,2020-01-13 03:50:29,-3.22,40.12,76.39,89,34,3.94,light rain,0.44,0.0
159,Sao Joao Da Barra,BR,2020-01-13 03:50:29,-21.64,-41.05,75.0,92,100,6.85,light rain,0.13,0.0
160,Longyan,CN,2020-01-13 03:50:30,25.11,117.02,64.99,99,92,2.77,overcast clouds,0.0,0.0
161,Adre,TD,2020-01-13 03:50:30,13.47,22.2,58.08,22,0,14.05,clear sky,0.0,0.0
162,Port-Gentil,GA,2020-01-13 03:50:30,-0.72,8.78,81.63,74,24,6.08,few clouds,0.0,0.0
163,Sabha,LY,2020-01-13 03:50:31,27.04,14.43,49.75,68,100,14.29,light rain,0.81,0.0
164,Iraquara,BR,2020-01-13 03:50:31,-12.25,-41.62,64.87,81,0,1.95,clear sky,0.0,0.0
165,Beruwala,LK,2020-01-13 03:50:31,6.48,79.98,75.92,76,61,8.84,broken clouds,0.0,0.0
166,Gravdal,NO,2020-01-13 03:50:32,68.12,13.5,39.2,69,75,18.34,shower rain,0.0,0.0
167,Susanville,US,2020-01-13 03:50:32,40.42,-120.65,37.4,64,75,21.92,broken clouds,0.0,0.0
168,Sao Filipe,CV,2020-01-13 03:50:32,14.9,-24.5,70.02,75,88,13.87,overcast clouds,0.0,0.0
169,Saint-Pierre,RE,2020-01-13 03:50:33,-21.34,55.48,82.4,61,0,3.36,clear sky,0.0,0.0
170,Waipawa,NZ,2020-01-13 03:50:33,-41.41,175.52,61.0,77,100,18.34,light rain,0.38,0.0
171,Talcahuano,CL,2020-01-13 03:47:01,-36.72,-73.12,59.0,87,20,10.29,few clouds,0.0,0.0
172,Noumea,NC,2020-01-13 03:50:34,-22.28,166.46,91.4,38,75,8.05,broken clouds,0.0,0.0
173,Gat,IL,2020-01-13 03:50:35,31.61,34.76,55.4,82,40,5.82,scattered clouds,0.0,0.0
174,Najran,SA,2020-01-13 03:50:35,17.49,44.13,44.6,52,0,1.72,clear sky,0.0,0.0
175,Norman Wells,CA,2020-01-13 03:50:36,65.28,-126.83,-18.4,75,5,4.7,clear sky,0.0,0.0
176,Konevo,RU,2020-01-13 03:50:37,62.12,39.32,31.93,86,100,12.12,overcast clouds,0.0,0.0
